critic_loss,policy_loss,steps,walltime
0.11695552,9.271657e-06,54,1.6546990871429443
0.145509,1.0265758e-05,55,1.6838061809539795
0.12215488,1.30472745e-05,56,1.7156684398651123
0.11703405,1.1431857e-05,57,1.743466854095459
0.13667603,1.1387919e-05,58,1.7725803852081299
0.14257781,1.2287014e-05,59,1.8071799278259277
0.124465406,1.3517957e-05,60,1.8403551578521729
0.13657022,1.5304511e-05,61,1.8693218231201172
0.1287725,1.5236983e-05,62,1.9003026485443115
0.13319674,1.3854915e-05,63,1.930647611618042
0.13060713,1.6051732e-05,64,1.96394944190979
0.11623089,1.765445e-05,65,1.9932019710540771
0.1415212,1.4602994e-05,66,2.0249810218811035
0.12282582,1.3271895e-05,67,2.0609142780303955
0.12370032,1.2919398e-05,68,2.0935628414154053
0.12121759,1.8035393e-05,69,2.121019124984741
0.12825722,1.5756119e-05,70,2.1496174335479736
0.12982629,1.6053804e-05,71,2.1864359378814697
0.11852729,1.4027749e-05,72,2.2153756618499756
0.1530899,1.31920715e-05,73,2.245403528213501
0.14028391,1.7714932e-05,74,2.2801759243011475
0.18138805,2.0937026e-05,75,2.3160011768341064
0.1378543,1.4691619e-05,76,2.3447093963623047
0.13447653,2.1431959e-05,77,2.374284029006958
0.13869771,2.4658846e-05,78,2.4044055938720703
0.12717293,2.2706074e-05,79,2.4383811950683594
0.14246555,2.035374e-05,80,2.469865322113037
0.117242604,2.1987398e-05,81,2.4989218711853027
0.16191109,2.623585e-05,82,2.532259464263916
0.15766664,2.3127475e-05,83,2.564594268798828
0.1990572,2.5148862e-05,84,2.5939581394195557
0.12754655,2.4928893e-05,85,2.623694896697998
0.15388845,2.912351e-05,86,2.65677547454834
0.1325647,2.169117e-05,87,2.685716152191162
0.1633906,2.5521247e-05,88,2.7145395278930664
0.12517002,2.9495528e-05,89,2.745119094848633
0.13670804,2.7894934e-05,90,2.7820122241973877
0.13267173,3.279685e-05,91,2.813004970550537
0.121650405,2.7470276e-05,92,2.8458409309387207
0.1285928,3.8979488e-05,93,2.8754987716674805
0.16683337,2.8516988e-05,94,2.905512809753418
0.15143844,3.3692246e-05,95,2.9342048168182373
0.1386055,2.9486837e-05,96,2.9658377170562744
0.2207699,3.4766344e-05,97,2.9980201721191406
0.17010245,3.6667712e-05,98,3.036079168319702
0.15148406,3.2463795e-05,99,3.064790964126587
0.12680882,3.4634348e-05,100,3.094217300415039
0.17251825,3.6032245e-05,101,3.1263301372528076
0.19066876,4.2142747e-05,102,3.154388189315796
0.16865428,5.0881972e-05,103,3.1859428882598877
0.20878428,5.1969826e-05,104,3.2188892364501953
0.21176578,4.6987403e-05,105,3.2542667388916016
0.17603546,3.9203063e-05,106,3.2861387729644775
0.18043791,5.168865e-05,107,3.319284439086914
0.17622577,4.2568656e-05,108,3.3534557819366455
0.17134956,4.474701e-05,109,3.390615940093994
0.17385425,4.9411454e-05,110,3.422865152359009
0.18590565,5.6471992e-05,111,3.4533159732818604
0.21691087,5.434762e-05,112,3.482158660888672
0.17091987,5.35582e-05,113,3.51716685295105
0.20517968,4.364467e-05,114,3.545945644378662
0.19828336,4.709689e-05,115,3.5747745037078857
0.23083425,5.0788156e-05,116,3.6075313091278076
0.18606196,4.9977105e-05,117,3.6371757984161377
0.20877102,5.5126955e-05,118,3.6673078536987305
0.17838629,6.3583575e-05,119,3.6977906227111816
0.22710325,5.8522808e-05,120,3.7319164276123047
0.223952,5.217827e-05,121,3.7650606632232666
0.2467337,6.666396e-05,122,3.7955517768859863
0.2350954,7.293506e-05,123,3.8254597187042236
0.22328529,5.664783e-05,124,3.8586928844451904
0.22794874,6.495141e-05,125,3.8875069618225098
0.20539953,4.6998088e-05,126,3.917876958847046
0.20909593,5.273839e-05,127,3.94787335395813
0.23981154,5.3336684e-05,128,3.982821226119995
0.23089567,5.5145807e-05,129,4.0150463581085205
0.21777795,6.7438465e-05,130,4.042853355407715
0.3987222,6.158599e-05,131,4.075096368789673
0.24412948,5.415464e-05,132,4.1036999225616455
0.2183241,5.9924692e-05,133,4.134411334991455
0.23449123,5.7712234e-05,134,4.168379068374634
0.2284086,5.559777e-05,135,4.202097177505493
0.26660657,4.6408953e-05,136,4.232442617416382
0.18135375,6.8031295e-05,137,4.26403546333313
0.20512794,5.438731e-05,138,4.298534154891968
0.24012196,5.3723925e-05,139,4.333951473236084
0.1886052,5.7772337e-05,140,4.362776756286621
0.2332609,5.7099107e-05,141,4.394457101821899
0.23554906,6.24447e-05,142,4.425018548965454
0.22539675,5.4321186e-05,143,4.4587562084198
0.29490468,5.630277e-05,144,4.489276170730591
0.20506914,5.8033926e-05,145,4.518994331359863
0.2547842,4.3216478e-05,146,4.550770044326782
0.24581929,5.405291e-05,147,4.5784947872161865
0.27853298,6.150197e-05,148,4.60779595375061
0.24422388,5.491724e-05,149,4.640002727508545
0.22922903,5.9862716e-05,150,4.674021005630493
0.26764038,4.5634428e-05,151,4.703906297683716
0.22518054,3.951287e-05,152,4.738169193267822
0.34878266,4.0035862e-05,153,4.76954460144043
0.2311393,3.1175958e-05,154,4.801597833633423
0.24303657,3.5656834e-05,155,4.829791784286499
0.27321386,3.1571828e-05,156,4.859198808670044
0.35919514,3.604059e-05,157,4.892078638076782
0.36944914,3.9209797e-05,158,4.9251549243927
